Brand,Engine_Displacement,Fuel_Type,Insurance,Kms_Driven,Location,Model,Ownership,Price,Registration_Year,Seats,Transmission
10,1197.0,4,1,50554,10,829,1,479000.0,2016,5,0
14,1493.0,1,0,45001,10,322,1,1750000.0,2022,6,0
10,1999.0,4,0,56751,10,665,1,975000.0,2017,5,0
9,1497.0,4,0,69000,10,440,1,850000.0,2018,5,0
18,2179.0,1,1,65308,10,1988,1,949000.0,2017,7,1
22,1998.0,1,1,53000,10,557,1,1575000.0,2013,5,0
19,1248.0,1,0,65000,10,383,1,625000.0,2016,5,1
10,1591.0,4,0,35000,10,522,1,1190000.0,2020,5,0
19,1197.0,4,1,29000,10,251,3,475000.0,2016,5,1
19,998.0,4,1,45000,10,1867,1,335000.0,2016,5,0
21,2143.0,1,1,50000,10,9,3,800000.0,2012,5,0
27,1498.0,4,1,16000,10,1067,1,1645000.0,2022,5,0
21,2987.0,1,1,87000,10,1088,1,2300000.0,2015,5,0
15,2179.0,1,0,55000,10,781,3,1275000.0,2012,5,0
10,1591.0,4,1,67500,10,521,3,849000.0,2019,5,1
19,1197.0,4,0,76435,10,249,1,495000.0,2017,5,0
19,998.0,4,0,44000,10,358,1,491000.0,2018,5,0
19,1373.0,4,1,48000,10,372,1,650000.0,2016,5,0
19,998.0,4,0,33581,10,349,3,344000.0,2016,5,0
